,record_no,source,doc_type,question,response,score,cp_score,ragas_score
61,62,drop,single,How many percent are not Marriage couples living together?,46.7%,False,0.4,
62,63,drop,single,How many in percent weren't under the age of 18?,75.40% of the population in the county is not under the age of 18.,True,1.0,1.0
63,64,drop,single,How many field goals did Janikowski kick?,Janikowski kicked two field goals.,True,1.0,1.0
64,65,drop,single,How many points were scored in the last meeting between these two teams?,A total of 55 points were scored in the last meeting between the Seahawks and the 49ers.,True,0.0,1.0
65,66,drop,single,How many more people who were born in Cyprus had both parents born in Turkey than both parents born in Cyprus?,"There were 16,824 people born in Cyprus with both parents born in Turkey and 120,031 people born in Cyprus with both parents also born in Cyprus. Therefore, there were 103,207 more people who were born in Cyprus with both parents born in Cyprus than there were people born in Cyprus with both parents born in Turkey.",True,1.0,1.0
66,67,drop,single,"In the county according to the 2000 census, which group is smaller: people or households?",There were more people than households in the county according to the 2000 census.,True,1.0,1.0
67,68,drop,single,How many pledges did the Soviets make?,The Soviets made four pledges to Armenia.,False,1.0,0.5
68,69,drop,single,Which player scored first?,Vernon Fox scored first.,True,1.0,1.0
69,70,drop,single,"Which were there more of, Cuban troops or Soviet advisors?","There were more Cuban troops than Soviet advisors. There were 16,000 Cuban troops and 1,500 Soviet advisors.",True,1.0,1.0
70,71,drop,single,How many days did the attacks by Republican submarines off the port of Oran last?,The attacks by Republican submarines against the *Admiral Graf Spee* off the port of Oran lasted for 3 days.,True,0.4,0.5
71,72,drop,single,How many percent were not Ukrainian?,86.5%,True,0.0,
72,73,drop,single,Is Texas predicted to see less cases of hypertension in 2030 or less cases of heart disease in 2030?,"Texas is predicted to see less cases of heart disease in 2030 than hypertension. By 2030, Texas is expected to have 5,688,482 cases of heart disease and 5,689,509 cases of hypertension.",True,1.0,1.0
73,74,drop,single,What year did Danish forces march on Småland in retaliation for their depredations in Halland and Skåne?,The Danish forces marched on Småland in 1277.,True,1.0,1.0
74,75,drop,single,How many people was the maximum estimate of people who died in the riot?,The maximum estimate of people who died in the riot was 2000.,True,1.0,1.0
75,76,drop,single,How many times did Saints score in the first half?,The Saints scored 3 times in the first half.,True,1.0,1.0
76,77,drop,single,Were there more Non-Hispanic or Hispanic Whites in the 2010 census?,There were more Non-Hispanic Whites than Hispanic Whites in the 2010 census.,True,1.0,1.0
77,78,drop,single,How many percent were not from 25 to 44?,84.7% of the population was not within the 25 to 44 age group.,True,0.8,1.0
78,79,drop,single,Which group from the census in the county is larger: German American or English American?,"German Americans are a larger group in the county, making up 17.2% of the population compared to 9.9% for English Americans.",True,1.0,1.0
79,80,drop,single,How many years after the Swedes tried to lay siege to Pskov did the Treaty of Stolbovo strip Russia of its access to the Baltic Sea and the Swedes were awarded the province of Ingria?,"Four years after the siege of Pskov, the Treaty of Stolbovo was signed, in 1617.",False,0.6000000000000001,0.5
80,81,drop,single,Which nationality was the second largest?,"Albanian was the second largest nationality in Greece as of the 2011 census, with 480,824 Albanian citizens residing in the country, which represented 4.44% of the total population.",True,1.0,1.0
81,82,drop,single,How many field goals were scored in the first half?,"Two field goals were scored in the first half, one by each team. Robbie Gould of the Bears and John Kasay of the Panthers hit field goals from 26 and 37 yards, respectively.",True,1.0,1.0
82,83,drop,single,"How many receiving touchdowns did Yancey Thigpen, Andre Hastings, and Ernie Mills have combined?","The combined total of receiving touchdowns between Yancey Thigpen, Andre Hastings, and Ernie Mills was 14.",True,1.0,1.0
83,84,drop,single,"How many more people, in terms of percentage, belonged to the third largest racial group compared to the Asian group?",There were 0.1% more people belonging to the third-largest racial group (Native Americans) compared to the Asian group in the village as of the 2000 census.,False,0.0,0.5
84,85,drop,single,How many weapons in total were lost by the Ottomans in the 1912 battle?,"The Ottoman forces lost a total of 100 artillery pieces and machine guns, and 70,000 rifles. This amounts to 170 weapons lost in total during the battle.",True,0.4,0.6666666667000001
85,86,drop,single,How many in percent weren't 65 years of age or older?,90.4% of the population was not 65 years of age or older.,True,1.0,1.0
86,87,drop,single,How many more rebels were killed compared to the lost troops of the British government?,2294 more rebels were killed compared to the lost troops of the British government.,True,1.0,0.0
87,88,drop,single,How many yards did Reed win with?,Jeff Reed won with a 31-yard field goal.,True,0.0,0.0
88,89,drop,single,Was life expectancy longer in 2015 or 1989?,"Life expectancy was longer in 2015 than in 1989, and it has been continuously growing since the end of Communism in Hungary.",True,1.0,1.0
89,90,drop,single,"Which region accounted for more of SuperData's wealth, Asia or Europe?","Asia accounted for slightly more of SuperData's reported global games market wealth, with a value of $23.1 billion compared to Europe's $22.1 billion.",True,1.0,0.6666666667000001
90,91,drop,single,How many points were scored in the first half?,19 points were scored in the first half.,True,1.0,1.0
91,92,drop,single,Which group from the census is larger: White or African American?,White.,True,1.0,1.0
92,93,drop,single,"Which year did the average cost  per flight hour cost the most, 2007 or 2013?",The average cost per flight hour was the highest in 2013.,True,0.0,0.0
93,94,drop,single,How many percent of the foreign population was not aged 15-64?,A total of 3.6% of the foreign population was not aged 15-64. This is calculated by subtracting the proportion of assets of foreigners aged 15-64 years (26.4%) from 100%.,False,0.0,0.33333333330000003
94,95,drop,single,Which group for households is smaller: married couples living together or non-families?,"Based on the information provided, the group for households that is smaller is married couples living together. As of 2000, 44.0% of households were married couples living together, while a higher percentage, 39.9%, were non-families.",True,0.0,0.25
95,96,drop,single,How many Europeans troops and Asian auxiliaries were the combines?,"The Dutch East India Company fleet consisted of a combined 1,941 European troops and Asian auxiliaries.",True,1.0,0.6666666667000001
96,97,drop,single,How many of Phil Dawson's field goals were in the first half?,Two of Phil Dawson's field goals were in the first half.,True,1.0,1.0
97,98,drop,single,How many points did the Bengals score in the second half?,The Bengals did not score any points in the second half.,True,1.0,1.0
98,99,drop,single,How many points difference was there between the winning and losing team?,The Chargers won the game by a margin of 7 points.,True,1.0,1.0
99,100,drop,single,"Which army was bigger, the Ducth or the French?",The French army was several times bigger than the Dutch army.,True,1.0,1.0
100,101,drop,single,How many fewer robberies were reported to the New York City Police Department in 2010 than in 2000?,There were 600 fewer robberies reported in 2010 than in 2000.,True,1.0,1.0
101,102,drop,single,how many yards did Potter make?,John Potter made field goals from 43 yards and 21 yards out.,True,1.0,1.0
102,103,drop,single,How many more people than households resided in the county according to the 2000 census?,"There were 9,334 more people than households residing in the county according to the 2000 census.",False,0.4,0.0
103,104,drop,single,By how many points did the Raiders win over the Bears in 2011?,The Raiders beat the Bears by 5 points in 2011.,True,0.0,0.0
104,105,drop,single,"Which suffered more deaths in the Deutschland incident, Germany or Spanish?",Germany suffered more deaths in the Deutschland incident.,True,0.0,0.0
105,106,drop,single,How many percent of people were not 70 to 79?,92.4%,True,0.0,
106,107,drop,single,How many in percent of households weren't a Marriage living together?,63.6% of households weren't a Marriage living together.,True,1.0,1.0
107,108,drop,single,"In what area did Antony vary the most from the national average: rate of employment, unemployment rate, or percentage of working people?","Antony varied the most from the national average in terms of the unemployment rate. In 1999, Antony had an unemployment rate of 7.9%, which was significantly lower than the national average of 12.9%. This represents a difference of 5 percentage points, which is a relatively large deviation.",True,1.0,0.6666666667000001
108,109,drop,single,How many percent of households did not have children under the age of 18 living with them?,75.65% of households did not have children under the age of 18 living with them. This is calculated by subtracting the percentage of households with children under 18 (24.35%) from 100%.,True,1.0,1.0
109,110,drop,single,"Which was the army to have more of, infantry or cavalry?","The treaty pledged each army to have more infantry than cavalry, with 35,000 infantry and 7,000 cavalry.",True,1.0,1.0
110,111,drop,single,"After New York missed on the two-point conversion, how many points ahead were the Giants?",The Giants were 12 points ahead.,True,0.4,1.0
111,112,drop,single,How many yards was the shortest field goal?,The shortest field goal was 32 yards.,True,1.0,1.0
112,113,drop,single,How many days after Foch's proposal was it approved by the Entente?,The Entente approved Foch's proposal 8 days later.,True,1.0,1.0
113,114,drop,single,How many fewer households were there compared to housing units?,"There were 3,992 fewer households than housing units in the city according to the 2000 and 2010 census data.",False,0.2,0.5
114,115,drop,single,"How many people, in terms of percentage of the population, were 55 years and older?",13.7% + 6.4% + 7% = 27.1% of the population in Saratoga County were 55 years old or older in 2010.,True,1.0,0.0
115,116,drop,single,Which ancestral group is smaller: Irish or Italian?,"The Irish ancestral group is smaller. According to the 2000 census, 12.2% of the county's population claimed Irish ancestry, while 6.1% claimed Italian ancestry.",True,1.0,0.6666666667000001
116,117,drop,single,How many people  less were there in the peninsula after the war?,"There were approximately 113,532 fewer people in the peninsula after the war.",True,0.0,0.0
117,118,drop,single,How many in percent weren't 25 to 44?,"Based on the provided information, 68.8% of New Haven's residents were not between the ages of 25 and 44.",True,1.0,1.0
118,119,drop,single,"Which of the Muktadil brothers was fleed, Badong or Kadafi?",Badong Muktadil was the one who fled and later succumbed to his injuries.,True,1.0,1.0
119,120,drop,single,How many total killed did Fegeleins final report state?,"Fegelein's final report stated that 16,678 people were killed in total.",False,0.0,0.0
120,121,drop,single,How many points did Atlanta win by?,The Atlanta Falcons won the game by 16 points.,True,1.0,1.0
121,122,drop,single,How many yards longer was Ashton Jeffery's touchdown reception then Torrey Smith's touchdown reception?,Ashton Jeffery's touchdown reception was 6 yards longer than Torrey Smith's.,False,1.0,1.0
122,123,drop,single,"How many years apart did school enrollment declined by 121,000 students?","The time frame mentioned in the context is a period of ten years, from 2000 to 2009. So, the school enrollment decline of 121,000 students occurred over a span of ten years.",False,1.0,1.0
123,124,drop,single,"As of 2000, how many in percent of households were married couples not living together?","As of 2000, 44% of households in the provided context were married couples living together, implying that the remaining 56% (100% - 44%) were either married couples not living together or unmarried couples. Therefore, it can be estimated that around 56% of households contained married couples not living together, although this may include unmarried couples as well.",False,0.0,0.25
124,125,drop,single,How many field goals were there over 35 yards?,There were 5 field goals over 35 yards.,False,0.0,0.0
125,126,drop,single,"How many catches/receptions did Antonio Freeman, Robert Brooks, and William Henderson have combined?","Antonio Freeman, Robert Brooks, and William Henderson had a combined total of 182 catches or receptions in the season.",True,1.0,1.0
126,127,drop,single,How many percent of people were not other races?,97.82% of people were not of other races.,True,1.0,1.0
127,128,drop,single,Which running back had the longest touchdown run?,Willis McGahee had the longest touchdown run of 19 yards.,False,0.2,0.0
128,129,drop,single,Which age group is smaller: 25 to 44 or 45 to 64?,The age group of 45 to 64 is smaller.,True,0.4,1.0
129,130,drop,single,How many percent of people were not Bumiputras  in 2000?,"As of the 2000 census, 62% of Kuala Lumpur's population was not Bumiputra.",True,1.0,1.0
130,131,drop,single,Who controlled just a small area outside the capital?,"Kyawswa, the new king of Pagan, controlled just a small area outside the capital.",True,1.0,1.0
131,132,drop,single,"Who received a higher raise in allowance, families with 3 children or families with 2 children?","Families with 2 children received a higher raise in allowance, with an increase of 81%.",True,1.0,1.0
132,133,drop,single,How many years after the railroad was extended through Madison did the Manufacturing Investment Company build a sulfite mill?,15 years.,True,0.0,1.0
133,134,drop,single,How many more games did the Cats win in the 2007 regulars season compared to loses?,The Cats won 13 games more than they lost in the 2007 regular season.,True,1.0,1.0
134,135,drop,single,How many points did New England trail by to start the 4th?,8 points,True,0.0,
135,136,drop,single,Whose Apology was rejected by Charles V?,Philipp Melanchthon's Apology was rejected by Emperor Charles V.,True,1.0,1.0
136,137,drop,single,How many men were part of the second battle under Charles cavalry total?,"The second battle under Charles' cavalry consisted of a total of 1,400 men.",True,1.0,1.0
137,138,drop,single,What happened to the city in 1757?,"In 1757, the city was occupied by French forces for six years as part of the conditions of the Second Treaty of Versailles between France and Austria.",True,1.0,1.0
138,139,drop,single,What year was Marr rehired?,Marr was rehired in 1904.,True,1.0,1.0
139,140,drop,single,which household was least common?,"Based on the provided context, the least common household type is a female householder with no husband present, making up only 9.1% of all households.",True,0.8,0.5
140,141,drop,single,How many field goals were there in the second half?,There were three field goals in the second half of the game.,True,1.0,1.0
141,142,drop,single,"Which were there more of in the Chennai population, Christian or Sikh population?","Chennai's population was 7.7% Christian and 0.1% Sikh as per the 2011 religious census, indicating that there were more Christians than Sikhs in the city.",True,1.0,1.0
142,143,drop,single,"Which team scored more touchdowns in the first quarter, Texans or Chargers?",Both teams scored one touchdown in the first quarter.,False,1.0,1.0
143,144,drop,single,who is the panthers quarterback?,Matt Moore is the quarterback for the Panthers.,True,1.0,1.0
144,145,drop,single,How many percent were not from 25 to 44?,83.9% of residents were not between the ages of 25 and 44.,True,1.0,1.0
145,146,drop,single,"How many years separate the Great Turkish War, and the Fifteen Years War?","The Great Turkish War took place between 1683 and 1699, and the Fifteen Years War (also known as the Long Turkish War) lasted from 1591 to 1606. Calculating the difference between the end of the Fifteen Years War and the start of the Great Turkish War, we get a difference of 77 years. So, 77 years separate these two conflicts.",True,0.8,0.8571428571
146,147,drop,single,"How many more people, in terms of percentage, were White compared to Asian and African American combined?",Around 95% more people identified as White compared to the combination of Asian and African American.,True,1.0,0.5
147,148,drop,single,How many years after the Battle of Nieuwpoort ocurred did the area obtain city rights from County Philip of Flanders?,"The Battle of Nieuwpoort took place in 1600, so the area obtained city rights from Count Philip of Flanders 437 years after the battle.",True,0.0,0.5
148,149,drop,single,How many more females per 100 were there than males 18 or over?,There were 5.5 more females per 100 than males who were 18 years of age or older.,True,1.0,0.5
149,150,drop,single,How many more jobs were in agriculture than in forestry or lumber production?,There were 997 more jobs in agriculture than in forestry or lumber production.,False,0.0,0.5
150,151,drop,single,How many years past since Khitans first invaded Korea to when they built a bridge over the Yalu River?,25 years. The Khitans first invaded Korea in 993 and built a bridge over the Yalu River in 1018.,True,1.0,0.6666666667000001
151,152,drop,single,How many more mandatory delegates did the Socialist Revolutionaries propse than the Bolshevik Central Committee did?,The Socialist Revolutionaries proposed 32 more mandatory delegates than the Bolshevik Central Committee.,True,1.0,1.0
152,153,drop,single,How many more games did the Mavericks win compared to lose during the regular season?,The Mavericks won 16 more games than they lost during the regular season.,True,1.0,0.0
153,154,drop,single,how many yards did simms run?,"Chris Simms did not run any yards in this game. However, he threw three interceptions.",False,0.2,0.5
154,155,drop,single,how many yards did mcmichael gain?,Randy McMichael gained a total of 23 yards from his two touchdown receptions.,True,1.0,1.0
155,156,drop,single,How many more points did the Patriots score in the Super Bowl XXXIX than the Eagles?,"The Patriots scored 3 more points than the Eagles in Super Bowl XXXIX, winning the game 24-21.",True,1.0,1.0
156,157,drop,single,How many lords were beheaded on Tower Hill?,"Three Jacobite lords were beheaded on Tower Hill: Kilmarnock, Balmerino, and Lovat.",True,1.0,1.0
157,158,drop,single,How many in percent weren't 25 to 44?,78.3%,False,0.0,
158,159,drop,single,Which age group is smaller: under the age of 18 or 18 to 24?,The age group that is smaller is 18 to 24.,True,1.0,1.0
159,160,drop,single,"How many people are in Chişinău, Bălţi, and Soroca combined?","The combined population of Chişinău, Bălţi, and Soroca is 779,037.",False,0.0,0.0
160,161,drop,single,How many yards was the shortest touchdown run?,The shortest touchdown run was 1 yard.,True,1.0,1.0
161,162,drop,single,"Which was bigger, the average family size or average household size?",The average family size was bigger.,True,1.0,1.0
162,163,drop,single,How many did the live birth rate increase between 2000 and 2011?,"The live birth rate in Carbon County, Pennsylvania, increased by 20 babies between 2000 and 2011.",True,1.0,1.0
163,164,drop,single,what month did the War of the League of Cambrai take place,"The War of the League of Cambrai was ongoing in February 1512, when the Sack of Brescia took place.",True,0.0,0.0
164,165,drop,single,How many yards was the longest touchdown pass?,69 yards,True,1.0,
165,166,drop,single,How many more people than households are in the county according to the census?,"There are 14,962 more people than households in the county according to the 2010 census data. This is calculated by subtracting the number of households (7,953) from the total population (22,915).",True,1.0,1.0
166,167,drop,single,How many members did the party lose 1933 to 1939?,"Between 1933 and 1939, the party lost approximately 1.6 million members.",True,1.0,1.0
167,168,drop,single,How many years after Anne's marriage to John Alford was their son Robert born?,Two years.,True,0.0,0.0
168,169,drop,single,Which tribe raided the Kievan Rus?,"The tribe that raided the Kievan Rus' was the Cumans, also known as the Polovtsy.",True,1.0,1.0
169,170,drop,single,How many days after Cardinal Jean de Caraman's death did Cardinal Bernard de la Tour die?,Cardinal Bernard de la Tour died six days after Cardinal Jean de Caraman.,True,1.0,1.0
170,171,drop,single,Which yard line did both teams score a touchdown from?,Both teams scored a touchdown from the 13-yard line.,True,1.0,0.5
171,172,drop,single,How many percent were not Norwegian?,93.1% of the people were not Norwegian.,True,1.0,1.0
172,173,drop,single,How many percent are not  female householder with no husband present?,89.7% of households are not female householder with no husband present.,True,1.0,1.0
173,174,drop,single,How many years did the Kingdom of Hungary exist?,"The Kingdom of Hungary existed for 26 years, from 1920 to 1946.",True,1.0,1.0
174,175,drop,single,How many percent were English American and Irish American combined?,The combined percentage of English American and Irish American in the county was 18.1%.,True,1.0,0.33333333330000003
175,176,drop,single,How many percent of Forth Worth commuters did not drive to work alone in 2009?,"In 2009, 19.4% of Fort Worth commuters did not drive to work alone. This percentage is calculated by subtracting the percentage of people who drove alone (80.6%) from 100%.",True,1.0,1.0
176,177,drop,single,How many incomplete passes did Kurt Warner have?,Kurt Warner had 12 incomplete passes.,False,1.0,1.0
177,178,drop,single,Which gender group is larger: females or males?,"Based on the provided information, the female group is slightly larger than the male group. For every 100 females, there are 97.3 males, indicating a higher number of females.",True,1.0,1.0
178,179,drop,single,Was the birth rate or death rate higher in 2007?,The birth rate was higher in 2007.,True,0.4,1.0
179,180,drop,single,How many yards was the shortest touchdown?,The shortest touchdown was 5 yards.,True,1.0,1.0
